,token,radical
250,252,CDP-8C4A
251,253,亻
252,254,CDP-8DE3
253,255,氶
254,256,丈
255,257,𢛳
256,258,老
257,259,⻏
258,260,女
259,261,革
260,262,GT-03877
261,263,𢆶
262,264,旡
263,265,兀
264,266,且
265,267,CDP-8A64
266,268,电
267,269,巨
268,270,熏
269,271,𨾴
270,272,兟
271,273,CDP-8CC6
272,274,攴
273,275,六
274,276,皿
275,277,非
276,278,亦
277,279,䖵
278,280,瓦
279,281,⺶
280,282,CDP-8971
281,283,CDP-8BC7
282,284,乃
283,285,卄
284,286,𡰪
285,287,夕
286,288,昷
287,289,月
288,290,溥
289,291,𠂑
290,292,目
291,293,CDP-8CE4
292,294,㝉
293,295,了
294,296,未
295,297,CDP-8DD8
296,298,𠕁
297,299,史
298,300,复
299,301,𪜊
300,302,齐
301,303,布
302,304,𦭝
303,305,CDP-8DBC
304,306,⺢
305,307,及
306,308,离
307,309,CDP-8BB5
308,310,𪞎
309,311,秉
310,312,CDP-8CC5
311,313,亘
312,314,勺
313,315,朩
314,316,余
315,317,真
316,318,讠
317,319,GT-K01554
318,320,咅
319,321,帀
320,322,旦
321,323,亍
322,324,癶
323,325,乘
324,326,页
325,327,CDP-89E2
326,328,己
327,329,𣎆
328,330,白
329,331,𫩏
330,332,GT-K04958
331,333,夹
332,334,𡰯
333,335,忄
334,336,尢
335,337,𡕩
336,338,CDP-8DBA
337,339,音
338,340,骨
339,341,CDP-8D41
340,342,乂
341,343,予
342,344,曳
343,345,九
344,346,CDP-8BA5
345,347,镸
346,348,亚
347,349,乚
348,350,𣪊
349,351,产
350,352,疌
351,353,井
352,354,巳
353,355,早
354,356,𠅃
355,357,允
356,358,𡯄
357,359,畀
358,360,龟
359,361,免
360,362,入
361,363,㐭
362,364,州
363,365,韦
364,366,G0-6566
365,367,㐅
366,368,乎
367,369,乙
368,370,AJ1-17729
369,371,CDP-8CE7
370,372,𩰲
371,373,瓜
372,374,虍
373,375,臾
374,376,丌
375,377,CDP-8D71
376,378,𠃜
377,379,CDP-8CCE
378,380,其
379,381,CDP-8964
380,382,夆
381,383,鸟
382,384,朿
383,385,酉
384,386,义
385,387,CDP-8D5A
386,388,CDP-8BE9
387,389,CDP-8BBE
388,390,毌
389,391,𡱒
390,392,𧰨
391,393,GT-K02380
392,394,GT-K00233
393,395,木
394,396,欮
395,397,兜
396,398,𮅕
397,399,疒
398,400,穴
399,401,双
400,402,CDP-8BEA
401,403,氏
402,404,𠀐
403,405,丐
404,406,⻖
405,407,GT-K00859
406,408,厶
407,409,𧾷
408,410,U-i001+20541
409,411,衣
410,412,𠆢
411,413,化
412,414,巴
413,415,厸
414,416,丸
415,417,刖
416,418,东
417,419,何
418,420,噩
419,421,甘
420,422,𦍌
421,423,龰
422,424,川
423,425,牙
424,426,户
425,427,CDP-8DB3
426,428,CDP-8C68
427,429,龹
428,430,手
429,431,兆
430,432,习
431,433,CDP-8CF0
432,434,头
433,435,CDP-8DB7
434,436,龴
435,437,𠂔
436,438,用
437,439,CDP-897D
438,440,而
439,441,廿
440,442,乇
441,443,CDP-8BC5
442,444,巿
443,445,𦣝
444,446,北
445,447,羊
446,448,廾
447,449,夗
448,450,亠
449,451,勹
450,452,匕
451,453,共
452,454,谷
453,455,CDP-8958
454,456,鬲
455,457,承
456,458,禺
457,459,午
458,460,匃
459,461,友
460,462,𤿺
461,463,刂
462,464,𢾰
463,465,林
464,466,屮
465,467,曰
466,468,𦈢
467,469,A-compU+590A
468,470,夂
469,471,⺗
470,472,𢦏
471,473,CDP-89E5
472,474,良
473,475,CDP-88F0
474,476,亡
475,477,䧹
476,478,八
477,479,𠃓
478,480,㠯
479,481,CDP-8CEC
480,482,CDP-89DE
481,483,CDP-89CC
482,484,CDP-8BAE
483,485,𣥂
484,486,长
485,487,云
486,488,CDP-8D46
487,489,次
488,490,由
489,491,CDP-8DB8
490,492,㐬
491,493,CDP-8BA4
492,494,鬼
493,495,匸
494,496,呆
495,497,豕
496,498,戊
497,499,壴
498,500,戋
499,501,瞿
500,502,C4-2263
501,503,CDP-89D7
502,504,祭
503,505,冏
504,506,彳
505,507,聿
506,508,𢼄
507,509,𣢟
508,510,叒
509,511,佥
510,512,亏
511,513,禹
512,514,之
513,515,束
514,516,央
515,517,吏
516,518,求
517,519,更
518,520,棥
519,521,𠂇
520,522,甚
521,523,𦐇
522,524,CDP-8CE0
523,525,隹
524,526,内
525,527,苟
526,528,CDP-8DBF
527,529,焦
528,530,𠀎
529,531,㢆
530,532,𭥍
531,533,竹
532,534,昔
533,535,光
534,536,⺲
535,537,斥
536,538,丏
537,539,丑
538,540,日
539,541,鹿
540,542,𥃭
541,543,CDP-8B67
542,544,厃
543,545,卪
544,546,飞
545,547,𰀁
546,548,弔
547,549,C6-2A69
548,550,凸
549,551,扌
550,552,见
551,553,⺈
552,554,先
553,555,刀
554,556,也
555,557,出
556,558,乑
557,559,CDP-8CB5
558,560,覀
559,561,亲
560,562,CDP-8D61
561,563,辶
562,564,⺪
563,565,委
564,566,CDP-8BD9
565,567,具
566,568,土
567,569,示
568,570,䍃
569,571,鼠
570,572,CDP-8DE4
571,573,自
572,574,妟
573,575,占
574,576,圥
575,577,䏍
576,578,书
577,579,金
578,580,首
579,581,CDP-8CBD
580,582,丨
581,583,册
582,584,⺆
583,585,豆
584,586,CDP-8DBB
585,587,兴
586,588,釆
587,589,糸
588,590,奇
589,591,C3-2548
590,592,罒
591,593,子
592,594,番
593,595,亽
594,596,丬
595,597,中
596,598,业
597,599,咸
598,600,卜
599,601,並
600,602,黍
601,603,㒸
602,604,羽
603,605,又
604,606,巫
605,607,兵
606,608,𫇦
607,609,𫲸
608,610,丁
609,611,⺇
610,612,CDP-8DE2
611,613,艹
612,614,斤
613,615,菐
614,616,父
615,617,𫶧
616,618,少
617,619,CDP-8C7A
618,620,士
619,621,㐌
620,622,CDP-8BEC
621,623,爫
622,624,一
623,625,乍
624,626,文
625,627,于
626,628,黑
627,629,CDP-8CE5
628,630,禸
629,631,麻
630,632,𪟊
631,633,丷
632,634,有
633,635,丘
634,636,CDP-8BE2
635,637,CDP-8DC3
636,638,臣
637,639,矢
638,640,厂
639,641,龶
640,642,严
641,643,无
642,644,囬
643,645,㡀
644,646,告
645,647,匆
646,648,京
647,649,丞
648,650,开
649,651,韭
650,652,犮
651,653,CDP-8D7C
652,654,弋
653,655,凵
654,656,⺳
655,657,舟
656,658,C3-2731
657,659,角
658,660,办
659,661,元
660,662,HD-FT-384C
661,663,阜
662,664,CDP-8C4F
663,665,王
664,666,𬎾
665,667,CDP-89BE
666,668,𦉰
667,669,灬
668,670,龷
669,671,⺧
670,672,CDP-89F6
671,673,医
672,674,享
673,675,两
674,676,与
675,677,CDP-8CE6
676,678,U-i001+81E4
677,679,片
678,680,疋
679,681,全
680,682,虫
681,683,CDP-8B7A
682,684,曷
683,685,𠘧
684,686,处
685,687,CDP-8C58
686,688,CDP-8968
687,689,圭
688,690,彑
689,691,戉
690,692,力
691,693,CDP-89D9
692,694,CDP-8C52
693,695,必
694,696,𪧇
695,697,寸
696,698,丰
697,699,CDP-8C66
698,700,𠤕
699,701,𡿺
700,702,𦣞
701,703,𡨄
702,704,GT-00154
703,705,CDP-v002-8D7C
704,706,冘
705,707,赤
706,708,CDP-8974
707,709,戌
708,710,肃
709,711,车
710,712,青
711,713,言
712,714,尤
713,715,𠬶
714,716,CDP-8D60
715,717,丩
716,718,𠦝
717,719,𰆊
718,720,𫂱
719,721,䀠
720,722,尃
721,723,声
722,724,旲
723,725,为
724,726,冂
725,727,口
726,728,久
727,729,耳
728,730,CDP-8B72
729,731,CDP-8AFC
730,732,尔
731,733,酋
732,734,𠳋
733,735,㚅
734,736,CDP-8BB8
735,737,𤣩
736,738,夲
737,739,至
738,740,耂
739,741,四
740,742,风
741,743,𠔼
742,744,戈
743,745,孨
744,746,每
745,747,𭕄
746,748,CDP-89EF
747,749,比
748,750,𡵉
749,751,CDP-89EE
750,752,本
751,753,CDP-8A60
752,754,叉
753,755,䓣
754,756,巾
755,757,年
756,758,乁
757,759,CDP-88F1
758,760,鱼
759,761,爪
760,762,CDP-8BC0
761,763,GT-00035
762,764,匚
763,765,𰀢
764,766,殳
765,767,邑
766,768,CDP-8BCB
767,769,上
768,770,巛
769,771,禾
770,772,凶
771,773,付
772,774,𠮷
773,775,山
774,776,率
775,777,吅
776,778,囗
777,779,𠂋
778,780,相
779,781,牜
780,782,色
781,783,CDP-8CC3
782,784,凹
783,785,𦥔
784,786,㐱
785,787,夫
786,788,孛
787,789,臿
788,790,夭
789,791,勿
790,792,七
791,793,𰃮
792,794,𠬝
793,795,A-compU+6797
794,796,马
795,797,里
796,798,者
797,799,娄
798,800,仒
799,801,CDP-8A66
800,802,牛
801,803,回
802,804,田
803,805,犬
804,806,喿
805,807,尸
806,808,AJ1-02453
807,809,𣬉
808,810,宀
809,811,丹
810,812,𬜯
811,813,水
812,814,柬
813,815,虽
814,816,𠬤
815,817,CDP-8C79
816,818,𠂤
817,819,㐫
818,820,A-compU+5358
819,821,𤴓
820,822,CDP-895F
821,823,AJ1-05916
822,824,CDP-8D5E
823,825,𦬇
824,826,𰀂
825,827,二
826,828,来
827,829,舌
828,830,钅
829,831,A-IWDSU+7680
830,832,卉
831,833,去
832,834,氺
833,835,末
834,836,彐
835,837,纟
836,838,平
837,839,U-i001+5F01
838,840,CDP-8DB2
839,841,凡
840,842,CDP-8C6A
841,843,冋
842,844,CDP-895C
843,845,㐆
844,1,UNK
845,0,PAD
